source,disease,type,text,meta
knowledge_graph,Tuberculosis,Signs,"More specific: Evidence of weight loss; fever; signs of pleural effusion on physical examination Less specific: Lymphadenopathy; signs of comorbid conditions (e.g., HIV infection signs).; etc.",{'path': 'Suspected Tuberculosis → Signs'}
knowledge_graph,Tuberculosis,LTBI,"Interferon-gamma release test (IGRA): This is a blood test that can detect whether there is an immune response to Mycobacterium tuberculosis in the body. It is not affected by BCG vaccination, so it is especially suitable in areas where BCG has been vaccinated.    
Tuberculin test (TST): Inject a certain amount of purified protein derivative (PPD) into the skin and observe the reaction of the skin 48 to 72 hours later to determine whether the patient is infected with Mycobacterium tuberculosis. Results need to be judged based on the size of the induration, usually 5 mm or larger is considered a positive reaction, but this also depends on the individual's specific circumstances such as HIV infection or recent exposure to a case of tuberculosis.
",{'path': 'LTBI'}
knowledge_graph,Tuberculosis,Tuberculosis,"Sputum smear microscopy: This is a rapid test that uses a microscope to examine sputum samples for tuberculosis bacteria. Although simple and low-cost, it is less sensitive. 
Sputum culture: This is the gold standard for diagnosing tuberculosis. The sputum sample is cultured in a specific medium to see if Mycobacterium tuberculosis is growing. Culture can provide information about resistance but takes a long time (usually weeks to months). 
Molecular biology detection methods: such as PCR technology, which can quickly detect the genetic material of Mycobacterium tuberculosis with high sensitivity and specificity, and is especially suitable for patients with negative sputum smear. 
Chest X-ray: Chest X-ray is a commonly used screening tool for patients suspected of having active pulmonary tuberculosis, which can reveal abnormalities in the lungs, such as patchy shadows, cavities, etc.
",{'path': 'Tuberculosis'}
knowledge_graph,Hypertension,Risk Factors,"Age, Family history, Race, Being overweight or obese, Unhealthy diet, Lack of physical activity, Smoking and drinking alcohol, Stress, Chronic conditions, Sleep disorders; etc.",{'path': 'Suspected Hypertension → Risk Factors'}
knowledge_graph,Hypertension,Symptoms,"Headaches, Dizziness or light-headedness, Blurred vision or other visual disturbances, Chest pain, Shortness of breath, Rapid or irregular heartbeat, Tinnitus, Nosebleeds; etc.",{'path': 'Suspected Hypertension → Symptoms'}
knowledge_graph,Hypertension,Hypertension,"an elevation of BP (SBP≥140mmHg or DBP≥90mmHg) confirmed by at least two to three visits is the diagnostic criteria of hypertension
",{'path': 'Hypertension'}
knowledge_graph,Thyroid Disease,Risk Factors,"Gender and Age; Both iodine deficiency and excess; Presence of thyroid autoantibodies ; Exposure to radiation; Family history of thyroid disease; Pregnancy itself alters thyroid function; Smoking; Certain Medications, e.g., Lithium, Amiodarone, Interferons, Rifampin, PTU, MMI, SSRIs",{'path': 'Suspected Thyroid Disease → Risk Factors'}
knowledge_graph,Thyroid Disease,Symptoms,"Hypothyroidism: Fatigue and sluggishness; Increased sensitivity to cold; Constipation; Dry skin and hair; Weight gain; Puffy face; Hoarseness; Muscle weakness; Elevated blood cholesterol level; Muscle aches, tenderness, and stiffness; Pain, stiffness, or swelling in your joints; Heavier than normal or irregular menstrual periods; Thinning hair; Slowed heart rate; Depression; Impaired memory; bradycardia; decrease in basal body temperature
                                                        Hyperthyroidism: Sudden weight loss; Rapid heartbeat; Irregular heartbeat; Pounding of your heart; Increased appetite; Nervousness, anxiety, and irritability; Tremor — usually a fine trembling in your hands and fingers; Sweating; Changes in menstrual patterns; Increased sensitivity to heat; Changes in bowel patterns, especially more frequent bowel movements; An enlarged thyroid gland ; Fatigue, muscle weakness; Difficulty sleeping; Shortness of breath; Eye swelling and increased tearing
                                                        Thyroiditis: Enlargement of the thyroid gland",{'path': 'Suspected Thyroid Disease → Symptoms'}
knowledge_graph,Thyroid Disease,Criteria,TSH > 4.0-4.5 mIU/L ; Free T4 (FT4) below the normal range (0.9-1.7 ng/dL); FT3<2.0 pg/ml; T3<80 ng/dL; T4<5.0 ng/dL,{'path': 'Hypothyroidism → Criteria'}
knowledge_graph,Thyroid Disease,Criteria,Low  TSH (<0.1 mIU/L) ; high levels of T4 (> 12.0 ng/dL) ;Triiodothyronine (T3) (> 180 ng/dL); FT4> 1.7 pg/ml; FT3 > 4.4 pg/ml,{'path': 'Hyperthyroidism → Criteria'}
knowledge_graph,Thyroid Disease,Criteria,"Thyroid function tests and thyroid antibody tests (such as anti-thyroid peroxidase antibodies, TPOAb); ultrasound shows thyroid size and shape may appear enlarged or morphologically altered; Changes in Echogenicity  showing areas of hypoechoicity, indicating tissue heterogeneity; ultrasound imaging may show increased or abnormal blood flow; ultrasound  find thyroid tissue may display structural heterogeneity",{'path': 'Thyroiditis → Criteria'}
knowledge_graph,Thyroid Disease,Criteria,"Thyroid ultrasound is the preferred method for evaluating thyroid nodules, which can help determine the nature of the nodules (likelihood of benign vs. malignant);

Echogenicity：
    Hypoechoic: The nodule appears darkerthan the surrounding thyroid tissue, which may suggest malignancy.
    Isoechoic or Hyperechoic: The nodule appears similar to or brighter than surrounding tissue, usually indicating benignity.

Margins:
    Irregular margins: May indicate malignancy. 
    Smooth and well-defined margins: Typically indicate a benign nodule.

Shape:
    Taller-than-wide: Nodules that are taller than they are wide (vertical to the skin) may be malignant.
    Wider-than-tall: Nodules that are wider than they are tall (horizontal to the skin) are usually benign.

Microcalcifications:
    Small calcium deposits within a nodule may suggest malignancy.

Blood flow pattern:
    Using Doppler ultrasound, increased abnormal blood flow may be associated with malignant nodules. 

For suspicious nodules, fine-needle aspiration biopsy (FNA) is crucial for definitive diagnosis.",{'path': 'Thyroid Nodules → Criteria'}
knowledge_graph,Thyroid Disease,Criteria," If FNA results suggest cancer or are suspicious for cancer, surgery, and further histopathological evaluation are usually necessary. Sufficient sample size is needed to make a diagnosis.",{'path': 'Thyroid Cancer → Criteria'}
knowledge_graph,COPD,Risk Factors,"Long-term exposure to harmful particles or gases (tobacco smoke, occupational dust and chemicals, air pollution) / Genetic predisposition (e.g., alpha-1 antitrypsin deficiency); etc.",{'path': 'Suspected COPD → Risk Factors'}
knowledge_graph,COPD,Symptoms,": Chronic cough, Sputum production, Dyspnea, especially during physical activities, Frequent respiratory infections; etc.",{'path': 'Suspected COPD → Symptoms'}
knowledge_graph,COPD,Signs,Wheezing、Chest tightness、Prolonged expiratory phase、Decreased breath sounds、Cyanosis (in advanced stages)、Use of accessory muscles for breathing.; etc.,{'path': 'Suspected COPD → Signs'}
knowledge_graph,COPD,COPD,Post-bronchodilator FEV1/FVC < 0.70 confirms the presence of persistent airflow limitation.,{'path': 'COPD'}
knowledge_graph,COPD,Mild COPD,FEV1 ≥ 80% predicted,{'path': 'Mild COPD'}
knowledge_graph,COPD,Moderate COPD,50% ≤ FEV1 < 80% predicted,{'path': 'Moderate COPD'}
knowledge_graph,COPD,Severe COPD,30% ≤ FEV1 < 50% predicted,{'path': 'Severe COPD'}
knowledge_graph,COPD,Very Severe COPD,FEV1 < 30% predicted or FEV1 < 50% predicted plus chronic respiratory failure,{'path': 'Very Severe COPD'}
knowledge_graph,Atrial Fibrillation,Risk Factors,"High blood pressure, Hyperthyroidism, Obesity, Diabetes, Smoking and alcohol consumption, Sleep apnea, Family history, Age, Gender; etc.",{'path': 'Suspected Atrial Fibrillation → Risk Factors'}
knowledge_graph,Atrial Fibrillation,Symptoms,"Palpitations or a feeling that the heart is beating too fast, Fatigue, Shortness of breath, especially during activity, Dizziness or a feeling of fainting, Chest pain, Decreased ability to exercise, Irritability or anxiety, Insomnia; etc.",{'path': 'Suspected Atrial Fibrillation → Symptoms'}
knowledge_graph,Atrial Fibrillation,Paroxysmal Atrial Fibrillation,"ECG: Episodes of AF that terminate spontaneously, usually within 7 days, most often within 24 hours. During an episode, the ECG shows absence of P waves, replaced by irregular atrial activity, and irregular R-R intervals
",{'path': 'Paroxysmal Atrial Fibrillation'}
knowledge_graph,Atrial Fibrillation,Persistent Atrial Fibrillation,"ECG: AF episodes that last more than 7 days. The ECG features are similar, showing no P waves, irregular atrial activity, and irregular R-R intervals.
",{'path': 'Persistent Atrial Fibrillation'}
knowledge_graph,Gastro-oesophageal Reflux Disease,Risk Factors,"obesity; dietary habits such as eating fatty or spicy foods, chocolate, and coffee; smoking; excessive alcohol consumption; pregnancy; certain medications such as calcium channel blockers, sedatives, and antidepressants; aging; delayed gastric emptying; body posture, like bending over or lying down right after eating; esophageal disorders such as esophageal stricture or motility disorders.; etc.",{'path': 'Suspected Gastro-oesophageal Reflux Disease → Risk Factors'}
knowledge_graph,Gastro-oesophageal Reflux Disease,Symptoms,"Typical: heartburn, oesophageal chest pain and regurgitation.atypical symptoms: belching, chronic cough, wheezing hoarseness, globus, nausea, abdominal pain and other dyspeptic symptoms; etc.",{'path': 'Suspected Gastro-oesophageal Reflux Disease → Symptoms'}
knowledge_graph,Gastro-oesophageal Reflux Disease,Gastro-oesophageal Reflux Disease,"conclusive evidence for gastro- esophageal reflux disease(off therapy): 
Endoscopy (endoscopy should be performed 2–4 weeks after discontinuation of antisecretory therapy ): LA grades B, C and D oesophagitis, biopsy proven Barrett’s oesophagus and peptic stricture are conclusive for a diagnosis of GERD.
Ambulatory reflux monitor (pH or pH-impendance):AET>6% on at least 2 days of wireless pH monitoring or total AET>6% on pH-impedance monitoring  (Total reflux episodes >80/day and baseline impedance of <1500 ohms  are adjunctive evidence).
Esophageal Manometry
  Lower Esophageal Sphincter (LES) Resting Pressure: Normal values: 10-45 mmHg
  Lower Esophageal Sphincter Relaxation Pressure: During swallowing, the LES should relax completely, approaching the intrathoracic pressure.
  Esophageal Body Peristaltic Wave Amplitude: Normal values: 30-180 mmHg
  Esophageal Peristaltic Wave Propagation Speed: Normal values: 2-4 cm/s
  Complete Peristaltic Waves: Normally, more than 70% of swallowing actions should induce effective peristaltic waves.
",{'path': 'Gastro-oesophageal Reflux Disease'}
knowledge_graph,Migraine,Risk Factors,"Genetic predispositions, environmental triggers (such as stress, certain foods or drinks, hormonal changes, changes in sleep patterns; etc.",{'path': 'Suspected Epilepsy → Risk Factors'}
knowledge_graph,Migraine,Symptoms,"headache on one side, pulsating pain, Moderate to severe pain intensity, nausea or vomiting, Sensitivity to light, sound or smell; etc.",{'path': 'Suspected Epilepsy → Symptoms'}
knowledge_graph,Migraine,Migraine Without Aura,"Headache attacks often begin suddenly, with no apparent warning period. 
A: At least 5 attacks.
B: Each attack lasts from 2 to 72 hours.
C: The attack has two or more of the following characteristics:
     Unilateral pain
     pain of pulsating nature
     Moderate or severe pain intensity
     Physical activity (such as walking up and down stairs) can worsen pain
D: accompanied by at least one of the following symptoms during the attack:
     Nausea and/or vomiting
     Sensitivity to light, sound, or smells (photophobia, soundphobia, or odorphobia
",{'path': 'Migraine Without Aura'}
knowledge_graph,Migraine,Migraine With Aura,"Headache attacks are preceded by a specific set of symptoms of neurological dysfunction. The aura usually lasts from 5 to 60 minutes and is immediately followed or overlapped by a headache attack. These include visual abnormalities (such as flashes of light, loss of visual field), sensory abnormalities (such as tingling or numbness in the hands and feet), and speech or language impairment. In rare cases, aura may include movement disorders.
",{'path': 'Migraine With Aura'}
knowledge_graph,Adrenal Insufficiency,Risk Factors,"Autoimmune diseases; Genetic predisposition; Infections (e.g., tuberculosis, HIV); Adrenal hemorrhage; Anticoagulant therapy; Chronic use of glucocorticoids or other immunosuppressive drugs; Certain medications that affect adrenal function; etc.",{'path': 'Suspected Adrenal Insufficiency → Risk Factors'}
knowledge_graph,Adrenal Insufficiency,Symptoms,"Fatigue; Muscle weakness; Weight loss; Gastrointestinal symptoms (nausea, vomiting, diarrhea); Low blood sugar; Hyperpigmentation (in primary adrenal insufficiency); Various abnormal manifestations of skin;Changes in serum potassium levels; Salt craving; Dizziness or fainting upon standing; Low blood sugar levels; etc.",{'path': 'Suspected Adrenal Insufficiency → Symptoms'}
knowledge_graph,Adrenal Insufficiency,Signs,"Hyperpigmentation (especially in creases of skin, on scars, or gums, in primary adrenal insufficiency); Low blood pressure; especially when standing (orthostatic hypotension); Dehydration; Abdominal tenderness; Electrolyte imbalances (hyponatremia, hyperkalemia); Rapid heart rate; etc.",{'path': 'Suspected Adrenal Insufficiency → Signs'}
knowledge_graph,Adrenal Insufficiency,Primary Adrenal Insufficiency,"1. Often there are high ACTH levels because the adrenal glands do not respond to ACTH 
 2. Both PAI and SAI may present with hyporesponsiveness, but in PAI cortisol does not increase even when ACTH is given because the adrenal glands are damaged 
 3. In PAI, imaging studies may show structural abnormalities in the adrenal glands.
 4. May be associated with significant electrolyte imbalances such as hyponatremia and hyperkalemia 
 5. Aldosterone is usually not involved, so hyperkalemia is unlikely 
 6 have Addison's disease. 
",{'path': 'Primary Adrenal Insufficiency'}
knowledge_graph,Adrenal Insufficiency,Secondary Adrenal Insufficiency,"1. ACTH levels are low or normal because the problem originates from the pituitary gland or hypothalamus, which does not secrete ACTH adequately.
 2. Cortisol increases when ACTH is given 
 3 For SAI, an MRI or CT scan may be needed to evaluate the structure of the pituitary gland and hypothalamus .
",{'path': 'Secondary Adrenal Insufficiency'}
knowledge_graph,Adrenal Insufficiency,Congenital Adrenal Hyperplasia,"1.Hormone measurements in blood and urine, specifically 17 hydroxyprogesterone (17-OHP), cortisol, androgens, and aldosterone. 2.Patients with CAH often present with abnormally elevated 17-OHP levels. 3.ACTH stimulation test: Measures changes in 17-OHP levels before and after ACTH (adrenocorticotropic hormone) injection to evaluate adrenocortical function.4. Genetic testing can confirm the diagnosis of CAH and identify the specific type of enzyme defect, the most common being 21-hydroxylase deficiency.
",{'path': 'Congenital Adrenal Hyperplasia'}
knowledge_graph,Epilepsy,Risk Factors,"fever, mental or physical stress, certain medications, excessive alcohol or caffeine intake. Brain Malformations, Genetic Abnormalities: Such as intracranial structural abnormalities, genetic neurodevelopmental disorders. Metabolic Abnormalities: Such as electrolyte imbalances, hypoglycemia. Central Nervous System Infections: Meningitis, encephalitis; etc.",{'path': 'Suspected Epilepsy → Risk Factors'}
knowledge_graph,Epilepsy,Symptoms,"Patients with epilepsy may experience seizures that vary in frequency from several weeks to several months apart. Some may have seizures more likely to occur under specific conditions, such as lack of sleep, high stress, or exposure to intense light.; etc.",{'path': 'Suspected Epilepsy → Symptoms'}
knowledge_graph,Epilepsy,Signs,"Before, mood changes, unusual sensations (such as strange tastes or sounds), fear, or gastrointestinal discomfort. During a Seizure: Symptoms can include loss of consciousness, muscle twitching, involuntary movements, cessation of activity, staring, chewing, or fumbling movements. After a Seizure (Postictal Symptoms): Post-seizure confusion, fatigue, headache, muscle pain, or memory loss are common., etc.",{'path': 'Suspected Epilepsy → Signs'}
knowledge_graph,Epilepsy,Non-epileptic Seizure,"Maybe related to specific situations, such as emotional stress or psychological trauma, without prodromal symptoms
EEG shows normal or no typical epileptic discharges
",{'path': 'Non-epileptic Seizure'}
knowledge_graph,Epilepsy,Epilepsy,"EEG typical epileptiform discharges, such as spikes and slow waves, may be recorded;
Video EEG-recorded epileptiform discharges, matching clinical seizure symptoms;
Imaging Studies:
    MRI: Preferred imaging modality for its ability to reveal subtle structural abnormalities such as cavernomas, cerebellar hypoplasia, or heterotopia, which could underlie epilepsy.	
    CT Scan: Often used in emergency settings for rapid identification of large-scale abnormalities like tumors, hemorrhage, or significant brain atrophy, particularly when an MRI is not immediately available.
",{'path': 'Epilepsy'}
knowledge_graph,Asthma,Risk Factors,Allergies; family history of asthma or allergies; occupational exposures; smoking or exposure to secondhand smoke; air pollution; frequent respiratory infections; etc.,{'path': 'Suspected Asthma → Risk Factors'}
knowledge_graph,Asthma,Symptoms,Recurrent episodes of wheezing; breathlessness; chest tightness; blood-tinged sputum and coughing; particularly at night or early morning; Sometimes accompanied by hypertension.;etc.,{'path': 'Suspected Asthma → Symptoms'}
knowledge_graph,Asthma,Signs,"Observable signs during a physical examination might include wheezing on auscultation, especially after exercise or during an acute episode;after giving medicine, patient still has different breathe sound; etc.",{'path': 'Suspected Asthma → Signs'}
knowledge_graph,Asthma,Asthma,"Spirometry: A significant improvement in FEV1 (Forced Expiratory Volume in 1 second) of more than 12% and 200 ml from baseline after administration of a bronchodilator confirms the reversibility of airflow obstruction.
Fractional Exhaled Nitric Oxide (FeNO): Elevated levels indicate eosinophilic inflammation, supporting the diagnosis of asthma.
Peak Expiratory Flow Variability: Monitoring over time can show variability in lung function, supporting an asthma diagnosis.
Hyperreactivity tests :An abnormal result in non-specific bronchial hyperreactivity tests (e.g., methacholine challenge test) may also lead to a strong suspicion of asthma.
",{'path': 'Asthma'}
knowledge_graph,Asthma,Severe Asthma,"doesn't respond well to conventional treatments needs stronger treatments;family history can also increase the probability;  acute attack regularly and severe; persistent flow limitation, even after giving enough bronchodilators; often accompanied with obesity or anxiety and depression",{'path': 'Severe Asthma'}
knowledge_graph,Asthma,Allergic Asthma,"Triggered by allergens such as pollen, dust mites, or pet dander, etc.",{'path': 'Allergic Asthma'}
knowledge_graph,Asthma,Non-Allergic Asthma,"Triggered by factors not related to allergies, like stress, exercise, illnesses, or cold air, etc.",{'path': 'Non-Allergic Asthma'}
knowledge_graph,Asthma,Cough-Variant Asthma,long-lasting dry cough that is not accompanied by other typical asthma symptoms such as wheezing or difficulty breathing; diurnal variation of peak expiratory flow>20%; often accompanied by a marked irritating cough at night; bronchodilators are effective,{'path': 'Cough-Variant Asthma'}
knowledge_graph,Asthma,Asthma-COPD,"Features of both asthma and chronic obstructive pulmonary disease (COPD), with symptoms and airflow limitation that aren't fully reversible;lasting airflow limitation; the elder has obvious symptoms",{'path': 'Asthma-COPD'}
knowledge_graph,Pulmonary Embolism,Risk Factors,"HTN; Previous VTE; Immobility or recent surgery; Cancer; Thrombophilia; Hormonal therapy (e.g., oral contraceptives or hormone replacement therapy); Pregnancy and the postpartum period; Obesity; Smoking; Long travel history.; etc.",{'path': 'Suspected Pulmonary Embolism → Risk Factors'}
knowledge_graph,Pulmonary Embolism,Symptoms,Sudden onset of dyspnea; Chest pain (sharp and worsened with deep breaths); Hemoptysis; Syncope or dizziness; Tachypnea; Tachycardia; etc.,{'path': 'Suspected Pulmonary Embolism → Symptoms'}
knowledge_graph,Pulmonary Embolism,Signs,"Tachypnea (rapid breathing); Tachycardia (rapid heart rate); Hypoxia (low oxygen levels in the blood); Cyanosis (blueish coloration of the skin and lips); Fever; Signs of deep vein thrombosis (DVT), such as swelling, redness, or pain in the leg.; etc.",{'path': 'Suspected Pulmonary Embolism → Signs'}
knowledge_graph,Pulmonary Embolism,Pulmonary Embolism,"Multi-slice spiral CT (CTPA): directly displays thrombus in the pulmonary artery.
D-dimer test: This is a blood test in which high levels of D-dimer may indicate blood clots, but low levels can be used to rule out pulmonary embolism. Normal values for D-dimer should be lower, using age × 10 μg/L as the threshold
Echocardiography: Assess right ventricular function and hemodynamics, especially important in high-risk patients. 
    Right ventricular dimensions: An enlarged right ventricle (RV) appears as increased width in cross-sectional long-axis view. Tricuspid annular plane 
    systolic excursion (TAPSE): If TAPSE is less than 16 mm, it indicates reduced RV function. 
    Tricuspid annular peak systolic velocity (S'): If the peak systolic velocity of the tricuspid annulus is less than 9.5 cm/sec, it may indicate RV insufficiency. 
    RV/LV diameter ratio: In the emergency setting, an RV to left ventricular (LV) diameter ratio greater than 1.0 can be used as an indicator of RV dysfunction. 
    RV wall thickness: During acute right ventricular pressure overload, echocardiography may detect increased RV wall thickness or tricuspid regurgitation ejection flow velocity exceeding 3.8 m/s or tricuspid peak systolic pressure gradient exceeding 60 mmHg.
Lower extremity venous ultrasound: Checks for the presence of deep vein thrombosis in the lower extremities, which may dislodge and become a pulmonary embolism.
V/Q lung scan: compares the ventilation (V) and perfusion (Q) of the lungs to detect abnormal areas, which may indicate the presence of blood clots.
",{'path': 'Pulmonary Embolism'}
knowledge_graph,Pulmonary Embolism,Massive PE,"The patient develops hemodynamic instability, such as sustained hypotension, shock, or cardiac arrest. These patients are high-risk PE and require immediate thrombolytic treatment or surgical intervention.",{'path': 'Massive PE'}
knowledge_graph,Pulmonary Embolism,Submassive PE,"The patient is hemodynamically stable, but there is evidence of RV functional impairment, such as RV enlargement or ventricular septal deviation on echocardiography, and elevated blood biomarkers (such as cardiac troponin). These patients are intermediate-risk PE and require hospitalization and close monitoring to detect potential hemodynamic instability promptly.",{'path': 'Submassive PE'}
knowledge_graph,Pulmonary Embolism,Low-risk PE,"The patient has stable hemodynamics, no evidence of RV function impairment, and normal blood biomarker levels. A low Pulmonary Embolism Severity Index (PESI) or simplified PESI (sPESI) score indicates a low risk of death.",{'path': 'Low-risk PE'}
knowledge_graph,Peptic Ulcer Disease,Risk Factors,"H. pylori Infection; (Nonsteroidal antiinflammatory drugs) NSAIDs Usage; Other  Co-administration of corticosteroids and bisphosphonates with NSAIDs; Neoplasms :gastrinoma, gastric adenocarcinoma, carcinoid syndrome; Other Factors: smoking, age, chronic medical conditions, genetic factors, stress and psychological factors and diet.; etc.",{'path': 'Suspected Peptic Ulcer Disease → Risk Factors'}
knowledge_graph,Peptic Ulcer Disease,Symptoms,"exhibit signs is epigastric pain; potentially accompanied by dyspepsia; Pain after meals, weight loss; bloating; abdominal fullness or discomfort; nausea; acid reflux; heratburn;belching,anorexia and early satiety.; etc.",{'path': 'Suspected Peptic Ulcer Disease → Symptoms'}
knowledge_graph,Peptic Ulcer Disease,Gastric Ulcers,"Upper Endoscopy: Typically located on the lesser curvature of the stomach, especially in the antrum and body of the stomach; May be accompanied by thickening of the stomach wall, and redness or swelling of the mucosa.
;H. pylori Testing: Urea breath testing, stool antigen testing, rapid urease testing, or histology.
",{'path': 'Gastric Ulcers'}
knowledge_graph,Peptic Ulcer Disease,Duodenal Ulcers,"Upper Endoscopy: Most commonly found in the duodenal bulb, the initial part of the duodenum. Duodenal ulcers usually appear round or oval with clearer edges, and the center sometimes shows white scar tissue; Common accompanying features include congestion and swelling of the nearby duodenal mucosa. Less commonly, perforation or bleeding may occur.
H. ;pylori Testing: Urea breath testing, stool antigen testing, rapid urease testing, or histology.
",{'path': 'Duodenal Ulcers'}
knowledge_graph,Diabetes,Risk Factors,family history of diabetes; obesity or overweight; physical inactivity; high blood pressure; abnormal cholesterol levels; history of gestational diabetes; polycystic ovary syndrome; age greater than 45 years; certain racial or ethnic backgrounds; etc.,{'path': 'Suspected Diabetes → Risk Factors'}
knowledge_graph,Diabetes,Symptoms,increased thirst; frequent urination; unexplained weight loss; increased hunger; blurry vision; numbness or tingling in the feet or hands; sores that do not heal; extreme fatigue; etc.,{'path': 'Suspected Diabetes → Symptoms'}
knowledge_graph,Diabetes,Signs,high fasting plasma glucose levels; elevated 2-hour plasma glucose levels during an oral glucose tolerance test; high A1C levels; presence of ketones in urine; rapid weight loss; acanthosis nigricans; etc.,{'path': 'Suspected Diabetes → Signs'}
knowledge_graph,Diabetes,Diabetes,"The definitive diagnosis of diabetes hinges on meeting one of the following criteria: a fasting plasma glucose (FPG) level of ≥126 mg/dL; a 2-hour glucose value of ≥200 mg/dL during an OGTT, or a random plasma glucose of ≥200 mg/dL in the presence of classic symptoms of hyperglycemia or hyperglycemic crisis.",{'path': 'Diabetes'}
knowledge_graph,Diabetes,Type I Diabetes,"Type 1 diabetes often involves an autoimmune process, so the following autoimmune markers can be used to aid diagnosis: anti-islet cell antibodies (ICA) ;anti-glutamate decarboxylase antibodies (GADA); anti-insulin antibodies (IAA) ;anti-tyrosine phosphatase-related Antibodies (IA-2A);These antibodies are positive in most patients with type 1 diabetes but are usually absent in patients with type 2 diabetes. ",{'path': 'Type I Diabetes'}
